ABK;Abkhazia;;;;;;;;;;;;;
ABK_ADJ;Abkhazian;;;;;;;;;;;;;
ABK_anarcho_liberal;Radical Faction;;;;;;;;;;;;;
ABK_communist;People's Party of Abkhazia;;;;;;;;;;;;;
ABK_conservative;Conservative Faction;;;;;;;;;;;;;
ABK_fascist;United Abkhazia Party;;;;;;;;;;;;;
ABK_liberal;Reformist Faction;;;;;;;;;;;;;
ABK_reactionary;Bey Loyalists;;;;;;;;;;;;;
ABK_socialist;Socialist Party;;;;;;;;;;;;;
ABU_absolute_monarchy_ADJ;Trucial;;;;;;;;;;;;;
ABU_absolute_monarchy;Trucial States;;;;;;;;;;;;;
ABU_ADJ;Emirati;;;;;;;;;;;;;
ABU_bourgeois_dictatorship_ADJ;Arabic;;;;;;;;;;;;;
ABU_bourgeois_dictatorship;United Arab Councils;;;;;;;;;;;;;
ABU_fascist_dictatorship_ADJ;Emirati;;;;;;;;;;;;;
ABU_fascist_dictatorship;The Emirate;;;;;;;;;;;;;
ABU_proletarian_dictatorship_ADJ;Arabic;;;;;;;;;;;;;
ABU_proletarian_dictatorship;People's Arabic Republic;;;;;;;;;;;;;
ABU;United Arab Emirates;;;;;;;;;;;;;
ACR;Acre;;;;;;;;;;;;;
ACR_ADJ;Acrean;;;;;;;;;;;;;
ACR_anarcho_liberal;Partido Radical;Partido Radical;Partido Radical;;;;;;;;;;;
ACR_communist;Partido Communist;Partido communiste;Partido Communist;;;;;;;;;;;
ACR_conservative;Partido Conservador;Partido Conservador;Partido Conservador;;;;;;;;;;;
ACR_fascist;Partido Fascist;Partido fasciste;Partido Fascist;;;;;;;;;;;
ACR_liberal;Partido Liberal;Partido Liberal;Partido Liberal;;;;;;;;;;;
ACR_reactionary;Partido Caramuru;Partido Caramuru;Partido Caramuru;;;;;;;;;;;
ACR_socialist;Partido Socialist;Partido socialiste;Partido Socialist;;;;;;;;;;;
### African Kingdoms ###;;;;;;;;;;;;;;
AGC_ADJ;Angochen;;;;;;;;;;;;;
AGC_anarcho_liberal;Radical Faction;;;;;;;;;;;;;
AGC;Angoche;;;;;;;;;;;;;
AGC_communist;Communist Party;;;;;;;;;;;;;
AGC_conservative;Sultan's Faction;;;;;;;;;;;;;
AGC_fascist;Fascist Faction;;;;;;;;;;;;;
AGC_liberal;Reform Faction;;;;;;;;;;;;;
AGC_reactionary;Islamic faction;;;;;;;;;;;;;
AGC_socialist;Socialist Party;;;;;;;;;;;;;
AKH_ADJ;Astrakhan;;;;;;;;;;;;;
AKH_anarcho_liberal;The Libertains;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
AKH;Astrakhan;;;;;;;;;;;;;
AKH_communist;The Communists;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
AKH_conservative;The Conservatives;Faction royale;Kˆnigsfraktion;;;;;;;;;;;
AKH_fascist;The Mongolian Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
AKH_liberal;The Liberals;Faction libÈrale;Die liberale Fraktion;;;;;;;;;;;
AKH_reactionary;The Khanate Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;
AKH_socialist;The Socialists;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;
alaskan;Alaskan;;;;;;;;;;;;;
ALB_communist;Partia e PunÎs e ShqipÎrisÎ;;;;;;;;;;;;;
ALB_conservative;LÎvizja Legalitetit;;;;;;;;;;;;;
ALB_fascist;Partia Fashiste e ShqipÎrisÎ;;;;;;;;;;;;;
ALS_ADJ;Alsatian ;;;;;;;;;;;;;
ALS_anarcho_liberal;Radical Arbeiterpartei;Arbeiterpartei radical;Radikale Arbeiterpartei;;;;;;;;;;;
ALS_communist;Communist Arbeiterpartei;Arbeiterpartei communiste;Kommunistische Arbeiterpartei;;;;;;;;;;;
